,User ID,Product Code,Payment Status,Coupon code,Lead Registered Time,Sales Date,Source,Product Amount with GST,Payment Mode,Currency  Code,Transaction Bank
5644,user7029,Product4,paid,Coupon unknown,2022-06-28 22:18:00,2022-06-28 00:00:00,Direct,2022.0,upi,INR,Bank unknown
5645,user6920,Product10,Initiated,Coupon unknown,2022-06-28 22:07:00,2022-06-28 00:00:00,Direct,999.0,Payment Mode unknown,INR,Bank unknown
5646,user7031,Product3,Initiated,Coupon unknown,2022-06-28 22:05:00,2022-06-28 00:00:00,Direct,1999.0,Payment Mode unknown,INR,Bank unknown
5647,user7032,Product1,Initiated,Coupon3,2022-06-28 21:43:00,2022-06-28 00:00:00,Direct,1499.0,Payment Mode unknown,INR,Bank unknown
5648,user7033,Product1,Initiated,Coupon3,2022-06-28 21:34:00,2022-06-28 00:00:00,Direct,1499.0,Payment Mode unknown,INR,Bank unknown
5649,user7033,Product1,Initiated,Coupon3,2022-06-28 21:34:00,2022-06-28 00:00:00,Direct,1499.0,Payment Mode unknown,INR,Bank unknown
5650,user7033,Product1,Initiated,Coupon3,2022-06-28 21:34:00,2022-06-28 00:00:00,Direct,1499.0,Payment Mode unknown,INR,Bank unknown
5651,user7034,Product39,Initiated,Coupon unknown,2022-06-28 21:19:00,2022-06-28 00:00:00,Direct,1000.0,Payment Mode unknown,INR,Bank unknown
5652,user7034,Product39,Initiated,Coupon unknown,2022-06-28 21:07:00,2022-06-28 00:00:00,Direct,1000.0,Payment Mode unknown,INR,Bank unknown
5653,user7035,Product8,Initiated,Coupon unknown,2022-06-28 21:01:00,2022-06-28 00:00:00,Influencer,59.0,Payment Mode unknown,USD,Bank unknown
5654,user7036,Product8,Initiated,Coupon unknown,2022-06-28 20:56:00,2022-06-28 00:00:00,Influencer,59.0,Payment Mode unknown,USD,Bank unknown
5655,user4480,Product3,Initiated,Coupon unknown,2022-06-28 20:19:00,2022-06-28 00:00:00,Direct,1999.0,Payment Mode unknown,INR,Bank unknown
5656,user1691,Product1,Initiated,Coupon3,2022-06-28 20:18:00,2022-06-28 00:00:00,Direct,2399.0,Payment Mode unknown,INR,Bank unknown
5657,user7042,Product5,Initiated,Coupon unknown,2022-06-28 20:01:00,2022-06-28 00:00:00,Direct,1999.0,Payment Mode unknown,INR,Bank unknown
5658,user7043,Product4,Initiated,Coupon unknown,2022-06-28 19:47:00,2022-06-28 00:00:00,Direct,2022.0,Payment Mode unknown,INR,Bank unknown
5659,user1096,Product10,Initiated,Coupon unknown,2022-06-28 19:37:00,2022-06-28 00:00:00,Direct,999.0,Payment Mode unknown,INR,Bank unknown
5660,user5063,Product5,Initiated,Coupon unknown,2022-06-28 19:26:00,2022-06-28 00:00:00,Direct,1999.0,Payment Mode unknown,INR,Bank unknown
5661,user6573,Product3,Initiated,Coupon unknown,2022-06-28 18:58:00,2022-06-28 00:00:00,Direct,1999.0,Payment Mode unknown,INR,Bank unknown
5662,user7048,Product8,Initiated,Coupon unknown,2022-06-28 21:50:00,2022-06-28 00:00:00,Influencer,1499.0,Payment Mode unknown,INR,Bank unknown
5663,user7032,Product1,Initiated,Coupon3,2022-06-28 21:44:00,2022-06-28 00:00:00,Direct,1499.0,Payment Mode unknown,INR,Bank unknown
5664,user7034,Product39,paid,Coupon unknown,2022-06-28 21:25:00,2022-06-28 00:00:00,Direct,1000.0,netbanking,INR,IDIB
5665,user7050,Product4,Initiated,Coupon unknown,2022-06-28 21:22:00,2022-06-28 00:00:00,Direct,2022.0,Payment Mode unknown,INR,Bank unknown
5666,user4918,Product1,Initiated,Coupon3,2022-06-28 20:20:00,2022-06-28 00:00:00,Direct,2399.0,Payment Mode unknown,INR,Bank unknown
5667,user4480,Product3,Initiated,Coupon unknown,2022-06-28 20:19:00,2022-06-28 00:00:00,Direct,1999.0,Payment Mode unknown,INR,Bank unknown
5668,user7055,Product1,Initiated,Coupon unknown,2022-06-28 19:51:00,2022-06-28 00:00:00,Direct,2499.0,Payment Mode unknown,INR,Bank unknown
5669,user7056,Product1,Initiated,Coupon39,2022-06-28 19:46:00,2022-06-28 00:00:00,Direct,1499.0,Payment Mode unknown,INR,Bank unknown
5670,user5063,Product5,Initiated,Coupon unknown,2022-06-28 19:25:00,2022-06-28 00:00:00,Direct,1999.0,Payment Mode unknown,INR,Bank unknown
5671,user6606,Product3,Initiated,Coupon unknown,2022-06-28 19:08:00,2022-06-28 00:00:00,Direct,1999.0,Payment Mode unknown,INR,Bank unknown
5672,user7058,Product3,Initiated,Coupon unknown,2022-06-28 17:53:00,2022-06-28 00:00:00,Direct,1999.0,Payment Mode unknown,INR,Bank unknown
5673,user7048,Product8,Initiated,Coupon unknown,2022-06-28 21:50:00,2022-06-28 00:00:00,Influencer,1499.0,Payment Mode unknown,INR,Bank unknown
5674,user7062,Product1,Initiated,Coupon unknown,2022-06-28 21:48:00,2022-06-28 00:00:00,Direct,2499.0,Payment Mode unknown,INR,Bank unknown
5675,user7063,Product4,Initiated,Coupon unknown,2022-06-28 21:45:00,2022-06-28 00:00:00,Direct,2022.0,Payment Mode unknown,INR,Bank unknown
5676,user7064,Product1,Initiated,Coupon unknown,2022-06-28 21:43:00,2022-06-28 00:00:00,Direct,2499.0,Payment Mode unknown,INR,Bank unknown
5677,user7032,Product1,Initiated,Coupon3,2022-06-28 21:43:00,2022-06-28 00:00:00,Direct,1499.0,Payment Mode unknown,INR,Bank unknown
5678,user7034,Product39,Initiated,Coupon unknown,2022-06-28 21:13:00,2022-06-28 00:00:00,Direct,1000.0,Payment Mode unknown,INR,Bank unknown
5679,user4164,Product78,Initiated,Coupon unknown,2022-06-28 20:27:00,2022-06-28 00:00:00,Direct,999.0,Payment Mode unknown,INR,Bank unknown
5680,user7067,Product4,Initiated,Coupon unknown,2022-06-28 20:14:00,2022-06-28 00:00:00,Direct,2022.0,Payment Mode unknown,INR,Bank unknown
5681,user7068,Product8,Initiated,Coupon unknown,2022-06-28 20:06:00,2022-06-28 00:00:00,Direct,1499.0,Payment Mode unknown,INR,Bank unknown
5682,user5304,Product3,Initiated,Coupon unknown,2022-06-28 19:43:00,2022-06-28 00:00:00,Direct,1999.0,Payment Mode unknown,INR,Bank unknown
5683,user6573,Product3,Initiated,Coupon unknown,2022-06-28 18:58:00,2022-06-28 00:00:00,Direct,1999.0,Payment Mode unknown,INR,Bank unknown
5684,user7070,Product2,Initiated,Coupon unknown,2022-06-28 18:57:00,2022-06-28 00:00:00,Direct,999.0,Payment Mode unknown,INR,Bank unknown
5685,user7071,Product8,Initiated,Coupon40,2022-06-28 18:31:00,2022-06-28 00:00:00,Influencer,1499.0,Payment Mode unknown,INR,Bank unknown
5686,user7072,Product4,Initiated,Coupon unknown,2022-06-28 18:19:00,2022-06-28 00:00:00,Direct,2022.0,Payment Mode unknown,INR,Bank unknown
5687,user6443,Product9,Initiated,Coupon unknown,2022-06-28 18:19:00,2022-06-28 00:00:00,Direct,999.0,Payment Mode unknown,INR,Bank unknown
5688,user7074,Product4,Initiated,Coupon unknown,2022-06-28 18:15:00,2022-06-28 00:00:00,Direct,2022.0,Payment Mode unknown,INR,Bank unknown
5689,user7082,Product38,Initiated,Coupon unknown,2022-06-28 16:31:00,2022-06-28 00:00:00,Direct,499.0,Payment Mode unknown,INR,Bank unknown
5690,user2229,Product1,Initiated,Coupon3,2022-06-28 16:25:00,2022-06-28 00:00:00,Direct,2399.0,Payment Mode unknown,INR,Bank unknown
5691,user1334,Product1,Initiated,Coupon3,2022-06-28 16:23:00,2022-06-28 00:00:00,Direct,1499.0,Payment Mode unknown,INR,Bank unknown
5692,user864,Product1,Initiated,Coupon57,2022-06-28 16:19:00,2022-06-28 00:00:00,Direct,2000.0,Payment Mode unknown,INR,Bank unknown
5693,user864,Product1,Initiated,Coupon57,2022-06-28 16:18:00,2022-06-28 00:00:00,Direct,2000.0,Payment Mode unknown,INR,Bank unknown
5694,user7084,Product38,Initiated,Coupon unknown,2022-06-28 16:06:00,2022-06-28 00:00:00,Influencer,499.0,Payment Mode unknown,INR,Bank unknown
5695,user7085,Product4,paid,Coupon unknown,2022-06-28 16:00:00,2022-06-28 00:00:00,Direct,2022.0,upi,INR,Bank unknown
5696,user7086,Product8,Initiated,Coupon unknown,2022-06-28 16:00:00,2022-06-28 00:00:00,Direct,1499.0,Payment Mode unknown,INR,Bank unknown
5697,user7088,Product2,Initiated,Coupon unknown,2022-06-28 15:49:00,2022-06-28 00:00:00,Direct,999.0,Payment Mode unknown,INR,Bank unknown
5698,user7089,Product1,Initiated,Coupon unknown,2022-06-28 15:29:00,2022-06-28 00:00:00,Direct,1499.0,Payment Mode unknown,USD,Bank unknown
5699,user7091,Product4,Initiated,Coupon unknown,2022-06-28 15:18:00,2022-06-28 00:00:00,Direct,2022.0,Payment Mode unknown,INR,Bank unknown
5700,user7092,Product4,Initiated,Coupon unknown,2022-06-28 15:12:00,2022-06-28 00:00:00,Direct,2022.0,Payment Mode unknown,INR,Bank unknown
5701,user7093,Product31,paid,Coupon unknown,2022-06-28 15:01:00,2022-06-28 00:00:00,Direct,1499.0,upi,INR,Bank unknown
5702,user7094,Product8,Initiated,Coupon unknown,2022-06-28 14:55:00,2022-06-28 00:00:00,Influencer,59.0,Payment Mode unknown,USD,Bank unknown
5703,user7095,Product8,Initiated,Coupon unknown,2022-06-28 14:48:00,2022-06-28 00:00:00,Influencer,1499.0,Payment Mode unknown,INR,Bank unknown
5704,user7096,Product8,Initiated,Coupon unknown,2022-06-28 14:31:00,2022-06-28 00:00:00,Influencer,1499.0,Payment Mode unknown,INR,Bank unknown
5705,user3568,Product5,Initiated,Coupon unknown,2022-06-28 14:12:00,2022-06-28 00:00:00,Direct,1999.0,Payment Mode unknown,INR,Bank unknown
5706,user7097,Product3,Initiated,Coupon unknown,2022-06-28 14:00:00,2022-06-28 00:00:00,Direct,1999.0,Payment Mode unknown,INR,Bank unknown
5707,user7098,Product93,Initiated,Coupon unknown,2022-06-28 13:46:00,2022-06-28 00:00:00,Paid,999.0,Payment Mode unknown,INR,Bank unknown
5708,user7100,Product8,Initiated,Coupon unknown,2022-06-28 17:17:00,2022-06-28 00:00:00,Influencer,59.0,Payment Mode unknown,USD,Bank unknown
5709,user5453,Product8,Initiated,Coupon unknown,2022-06-28 16:43:00,2022-06-28 00:00:00,Influencer,1499.0,Payment Mode unknown,INR,Bank unknown
5710,user3638,Product1,Initiated,Coupon unknown,2022-06-28 16:28:00,2022-06-28 00:00:00,Direct,2499.0,Payment Mode unknown,INR,Bank unknown
5711,user7033,Product1,Initiated,Coupon58,2022-06-28 16:23:00,2022-06-28 00:00:00,Direct,2000.0,Payment Mode unknown,INR,Bank unknown
5712,user5699,Product1,Initiated,Coupon unknown,2022-06-28 16:21:00,2022-06-28 00:00:00,Direct,2499.0,Payment Mode unknown,INR,Bank unknown
5713,user5699,Product1,Initiated,Coupon unknown,2022-06-28 16:20:00,2022-06-28 00:00:00,Direct,3999.0,Payment Mode unknown,INR,Bank unknown
5714,user864,Product1,Initiated,Coupon57,2022-06-28 16:19:00,2022-06-28 00:00:00,Direct,2000.0,Payment Mode unknown,INR,Bank unknown
5715,user7086,Product8,Initiated,Coupon unknown,2022-06-28 15:59:00,2022-06-28 00:00:00,Direct,1499.0,Payment Mode unknown,INR,Bank unknown
5716,user7086,Product8,Initiated,Coupon unknown,2022-06-28 15:58:00,2022-06-28 00:00:00,Direct,1499.0,Payment Mode unknown,INR,Bank unknown
5717,user7103,Product2,Initiated,Coupon unknown,2022-06-28 15:54:00,2022-06-28 00:00:00,Direct,999.0,Payment Mode unknown,INR,Bank unknown
5718,user7091,Product4,paid,Coupon unknown,2022-06-28 15:29:00,2022-06-28 00:00:00,Direct,2022.0,upi,INR,Bank unknown
5719,user7094,Product8,Initiated,Coupon unknown,2022-06-28 15:06:00,2022-06-28 00:00:00,Influencer,59.0,Payment Mode unknown,USD,Bank unknown
5720,user7105,Product43,Initiated,Coupon unknown,2022-06-28 15:05:00,2022-06-28 00:00:00,Email,399.0,Payment Mode unknown,INR,Bank unknown
5721,user7107,Product8,Initiated,Coupon unknown,2022-06-28 14:38:00,2022-06-28 00:00:00,Influencer,1499.0,Payment Mode unknown,INR,Bank unknown
5722,user7097,Product3,paid,Coupon unknown,2022-06-28 14:02:00,2022-06-28 00:00:00,Direct,1999.0,upi,INR,Bank unknown
5723,user7091,Product4,Initiated,Coupon unknown,2022-06-28 13:39:00,2022-06-28 00:00:00,Direct,2022.0,Payment Mode unknown,INR,Bank unknown
5724,user7112,Product12,Initiated,Coupon26,2022-06-28 12:35:00,2022-06-28 00:00:00,Influencer,1499.0,Payment Mode unknown,INR,Bank unknown
5725,user5453,Product8,Initiated,Coupon unknown,2022-06-28 16:43:00,2022-06-28 00:00:00,Influencer,1499.0,Payment Mode unknown,INR,Bank unknown
5726,user1334,Product1,Initiated,Coupon3,2022-06-28 16:22:00,2022-06-28 00:00:00,Direct,1499.0,Payment Mode unknown,INR,Bank unknown
5727,user7113,Product8,Initiated,Coupon unknown,2022-06-28 16:20:00,2022-06-28 00:00:00,Direct,1499.0,Payment Mode unknown,INR,Bank unknown
5728,user7116,Product3,Initiated,Coupon unknown,2022-06-28 15:52:00,2022-06-28 00:00:00,Direct,1999.0,Payment Mode unknown,INR,Bank unknown
5729,user7117,Product5,Initiated,Coupon unknown,2022-06-28 15:31:00,2022-06-28 00:00:00,Direct,1999.0,Payment Mode unknown,INR,Bank unknown
5730,user7118,Product1,Initiated,Coupon unknown,2022-06-28 15:31:00,2022-06-28 00:00:00,Direct,1499.0,Payment Mode unknown,USD,Bank unknown
5731,user7092,Product4,paid,Coupon unknown,2022-06-28 15:14:00,2022-06-28 00:00:00,Direct,2022.0,upi,INR,Bank unknown
5732,user7092,Product4,Initiated,Coupon unknown,2022-06-28 15:10:00,2022-06-28 00:00:00,Direct,2022.0,Payment Mode unknown,INR,Bank unknown
5733,user7120,Product18,paid,Coupon unknown,2022-06-28 15:09:00,2022-06-28 00:00:00,Direct,1999.0,upi,INR,Bank unknown
5734,user7105,Product43,Initiated,Coupon unknown,2022-06-28 15:03:00,2022-06-28 00:00:00,Email,399.0,Payment Mode unknown,INR,Bank unknown
5735,user7093,Product31,Initiated,Coupon unknown,2022-06-28 14:59:00,2022-06-28 00:00:00,Direct,1499.0,Payment Mode unknown,INR,Bank unknown
5736,user7097,Product3,Initiated,Coupon unknown,2022-06-28 14:01:00,2022-06-28 00:00:00,Direct,1999.0,Payment Mode unknown,INR,Bank unknown
5737,user7124,Product9,Initiated,Coupon unknown,2022-06-28 13:59:00,2022-06-28 00:00:00,Direct,999.0,Payment Mode unknown,INR,Bank unknown
5738,user7091,Product4,Initiated,Coupon unknown,2022-06-28 13:44:00,2022-06-28 00:00:00,Direct,2022.0,Payment Mode unknown,INR,Bank unknown
5739,user7128,Product8,Initiated,Coupon unknown,2022-06-28 13:24:00,2022-06-28 00:00:00,Influencer,59.0,Payment Mode unknown,USD,Bank unknown
5740,user7129,Product107,Initiated,Coupon unknown,2022-06-28 13:23:00,2022-06-28 00:00:00,Direct,499.0,Payment Mode unknown,INR,Bank unknown
5741,user7131,Product25,Initiated,Coupon unknown,2022-06-28 13:17:00,2022-06-28 00:00:00,Direct,1499.0,Payment Mode unknown,INR,Bank unknown
5742,user7133,Product8,Initiated,Coupon unknown,2022-06-28 12:46:00,2022-06-28 00:00:00,Influencer,1499.0,Payment Mode unknown,INR,Bank unknown
